District,Latitude,Longitude
Alto de Pinheiros,-23.55,-46.712
Anhanguera,-23.433,-46.789
Aricanduva,-23.573,-46.518
Artur Alvim,-23.54,-46.485
Barra Funda,-23.525,-46.668
Bela Vista,-23.562,-46.648
Belém,-23.538,-46.595
Bom Retiro,-23.527,-46.637
Brasilândia,-23.448,-46.69
Brooklin,-23.627,-46.688
Brás,-23.545,-46.616
Butantã,-23.569,-46.722
Cachoeirinha,-23.45,-46.664
Cambuci,-23.566,-46.614
Campo Belo,-23.627,-46.669
Campo Grande,-23.676,-46.687
Campo Limpo,-23.649,-46.759
Cangaíba,-23.496,-46.517
Capão Redondo,-23.672,-46.779
Carrão,-23.552,-46.538
Casa Verde,-23.499,-46.654
Cidade Ademar,-23.669,-46.659
Cidade Dutra,-23.728,-46.71
Cidade Líder,-23.566,-46.491
Cidade Tiradentes,-23.589,-46.396
Consolação,-23.558,-46.66
Cursino,-23.632,-46.62
Ermelino Matarazzo,-23.492,-46.484
Freguesia do Ó,-23.485,-46.695
Grajaú,-23.786,-46.665
Guaianazes,-23.542,-46.415
Iguatemi,-23.618,-46.419
Ipiranga,-23.589,-46.606
Itaim Bibi,-23.602,-46.685
Itaim Paulista,-23.503,-46.385
Itaquera,-23.535,-46.454
Jabaquara,-23.646,-46.641
Jaguaré,-23.542,-46.749
Jaraguá,-23.447,-46.736
Jardim Helena,-23.482,-46.423
Jardim Paulista,-23.567,-46.664
Jardim São Luis,-23.684,-46.738
Jardim Ângela,-23.712,-46.771
Jaçanã,-23.458,-46.577
José Bonifácio,-23.564,-46.435
Lajeado,-23.536,-46.41
Lapa,-23.524,-46.703
Liberdade,-23.567,-46.632
Limão,-23.497,-46.675
Mandaqui,-23.458,-46.641
Medeiros,-23.183,-46.998
Moema,-23.604,-46.662
Mooca,-23.562,-46.597
Morumbi,-23.596,-46.707
Pari,-23.527,-46.616
Parque do Carmo,-23.579,-46.458
Pedreira,-22.741,-46.895
Penha,-23.533,-46.543
Perdizes,-23.538,-46.681
Perus,-23.408,-46.744
Pinheiros,-23.567,-46.702
Pirituba,-23.48,-46.731
Ponte Rasa,-23.517,-46.496
Raposo Tavares,-23.592,-46.781
República,-23.545,-46.642
Rio Pequeno,-23.569,-46.757
Sacomã,-23.601,-46.603
Santa Cecília,-23.53,-46.652
Santana,-23.503,-46.625
Santo Amaro,-23.656,-46.719
Sapopemba,-23.605,-46.51
Saúde,-23.615,-46.643
Socorro,-22.59,-46.525
São Domingos,-23.494,-46.746
São Lucas,-23.595,-46.546
São Mateus,-23.6,-46.478
São Miguel,-23.503,-46.438
São Rafael,-23.627,-46.453
Sé,-23.55,-46.633
Tatuapé,-23.54,-46.577
Tremembé,-23.412,-46.588
Tucuruvi,-23.48,-46.603
Vila Andrade,-23.628,-46.729
Vila Curuçá,-23.51,-46.418
Vila Formosa,-23.569,-46.543
Vila Guilherme,-23.51,-46.606
Vila Jacuí,-23.5,-46.459
Vila Leopoldina,-23.53,-46.734
Vila Madalena,-23.546,-46.691
Vila Maria,-23.512,-46.576
Vila Mariana,-23.589,-46.635
Vila Matilde,-23.532,-46.531
Vila Olimpia,-23.594,-46.684
Vila Prudente,-23.585,-46.583
Vila Sônia,-23.6,-46.739
Água Rasa,-23.565,-46.574
